INa_IC50,INa_h,INaL_IC50,INaL_h
2.2e+09,1.989,25090,0.7866
2.512e+09,1.978,33150,0.5593
2.449e+09,1.988,33820,0.577
2.436e+09,1.979,37580,0.5694
2.416e+09,1.944,33270,0.5527
2.464e+09,1.863,33080,0.6
2.391e+09,1.835,32020,0.5628
2.448e+09,1.959,42040,0.5319
2.402e+09,1.845,42520,0.5355
2.528e+09,1.969,37840,0.5644
2.587e+09,1.975,35200,0.5779
2.373e+09,1.929,40650,0.5117
2.68e+09,1.869,46890,0.5211
2.518e+09,1.969,31510,0.6282
2.551e+09,1.971,49570,0.5116
2.678e+09,1.915,25530,0.6054
2.109e+09,1.771,40820,0.6949
2.293e+09,1.97,44130,0.5854
2.233e+09,1.979,49290,0.5529
2.367e+09,1.994,48170,0.5405
2.325e+09,1.972,38900,0.5151
2.347e+09,1.901,26850,0.6871
2.074e+09,1.953,29440,0.6784
2.239e+09,1.966,35860,0.5893
2.534e+09,1.848,39700,0.6075
2.359e+09,1.918,49050,0.5208
2.43e+09,1.987,41110,0.6076
2.23e+09,1.813,58310,0.6274
2.291e+09,1.905,38290,0.5886
2.322e+09,1.997,34490,0.5271
2.385e+09,1.99,33670,0.5254
2.432e+09,1.947,39050,0.5561
2.352e+09,1.916,38510,0.534
2.336e+09,1.899,66130,0.5099
2.741e+09,1.738,38770,0.5936
2.273e+09,1.721,46770,0.5117
2.601e+09,1.753,38600,0.51
2.622e+09,1.98,40090,0.5455
2.456e+09,1.997,39390,0.5377
2.392e+09,1.839,35030,0.5037
2.385e+09,1.915,40890,0.7026
2.452e+09,1.891,49710,0.5132
2.516e+09,1.94,40090,0.55
2.336e+09,1.826,37180,0.5464
2.28e+09,1.98,35780,0.5827
2.206e+09,1.986,40510,0.5313
2.204e+09,1.945,32220,0.6088
2.556e+09,1.953,31150,0.5647
2.598e+09,1.803,36460,0.5914
2.816e+09,1.846,35970,0.5526
2.665e+09,1.984,57450,0.6392
2.446e+09,1.837,27690,0.5668
2.65e+09,1.907,27540,0.654
2.373e+09,1.979,18800,0.5302
2.311e+09,1.958,21510,0.5243
2.353e+09,1.905,51240,0.605
2.15e+09,1.956,34760,0.5842
2.425e+09,1.994,33300,0.5788
2.106e+09,1.968,39510,0.5915
2.258e+09,1.937,33280,0.5127
2.456e+09,1.885,36350,0.5272
2.256e+09,1.989,27480,0.5335
2.435e+09,1.95,31900,0.6937
2.108e+09,1.937,38410,0.5642
2.585e+09,1.988,33040,0.5292
2.407e+09,1.963,40860,0.6388
2.49e+09,1.914,44690,0.5355
2.311e+09,1.979,45510,0.5032
2.257e+09,1.981,31700,0.6709
2.344e+09,1.937,37880,0.5151
2.37e+09,1.981,40790,0.5031
2.387e+09,1.966,62550,0.5101
2.202e+09,1.969,15350,0.5392
2.41e+09,1.792,31030,0.5967
2.855e+09,1.919,32440,0.5473
2.403e+09,1.995,52290,0.6207
2.249e+09,1.979,36910,0.5992
2.404e+09,1.818,57120,0.574
2.687e+09,1.915,56510,0.5734
2.298e+09,1.88,38340,0.5729
2.234e+09,1.874,43490,0.5203
2.681e+09,1.715,37820,0.5609
2.874e+09,1.647,26530,0.6037
2.56e+09,1.907,94780,0.5756
2.342e+09,1.952,47500,0.5394
2.368e+09,1.927,34510,0.5447
2.392e+09,1.981,85820,0.5894
2.615e+09,1.955,49350,0.516
2.574e+09,1.99,45400,0.5073
2.393e+09,1.937,43330,0.5139
2.377e+09,1.966,62970,0.5068
3.203e+09,1.782,36540,0.5466
2.715e+09,1.833,44490,0.5882
2.446e+09,1.987,42190,0.6063
2.477e+09,1.94,20680,0.7671
2.41e+09,1.958,56670,0.5105
2.344e+09,1.961,42120,0.506
2.389e+09,1.939,33940,0.5178
2.364e+09,1.792,37890,0.5271
2.65e+09,1.992,41910,0.5141
2.386e+09,1.901,39460,0.5906
2.481e+09,1.982,67780,0.5441
2.564e+09,1.967,51860,0.5738
2.497e+09,1.932,48600,0.5583
2.314e+09,1.954,31110,0.5175
2.486e+09,1.878,25320,0.5235
2.335e+09,1.933,37940,0.5317
2.282e+09,1.956,63250,0.7034
2.219e+09,1.991,60660,0.5344
2.37e+09,1.987,44610,0.688
2.485e+09,1.759,35880,0.5734
2.264e+09,1.888,39080,0.513
2.41e+09,1.615,49160,0.7768
2.465e+09,1.85,26170,0.6003
2.42e+09,1.787,35420,0.6289
2.499e+09,2,39340,0.6598
2.579e+09,1.971,38600,0.5714
2.395e+09,1.933,36420,0.5314
2.475e+09,1.937,42410,0.544
2.405e+09,1.915,46080,0.5144
2.436e+09,1.919,41090,0.6024
2.433e+09,1.991,38100,0.5283
2.44e+09,1.931,34620,0.5918
2.57e+09,1.928,33060,0.5758
2.453e+09,1.873,46450,0.5357
2.427e+09,1.742,57180,0.54
2.3e+09,1.953,41660,0.5193
2.307e+09,1.949,65530,0.535
2.354e+09,1.942,31170,0.5978
2.692e+09,1.878,31780,0.6044
2.787e+09,1.743,39900,0.5229
2.72e+09,1.73,41690,0.5035
3.041e+09,1.906,56220,0.5651
2.426e+09,1.994,44030,0.5745
2.417e+09,1.965,41130,0.5104
2.551e+09,1.922,41470,0.5064
2.487e+09,1.943,53390,0.5239
2.55e+09,1.997,52530,0.516
2.429e+09,1.976,34380,0.5278
2.296e+09,1.918,34550,0.5829
2.488e+09,1.948,25040,0.6277
2.338e+09,1.989,35980,0.5272
2.563e+09,1.939,48440,0.5331
2.559e+09,1.998,43200,0.5085
2.511e+09,1.988,45810,0.5453
2.764e+09,1.937,42360,0.6033
2.722e+09,1.95,28300,0.5376
3.788e+09,1.333,42270,0.708
4.311e+09,1.08,48370,0.6432
3.842e+09,1.26,32120,0.5482
3.783e+09,1.42,41550,0.6069
3.775e+09,1.445,37470,0.5975
3.379e+09,1.252,35430,0.57
2.813e+09,1.523,33800,0.5555
2.686e+09,1.717,34940,0.6514
2.362e+09,1.806,31380,0.6995
2.229e+09,1.972,39640,0.5021
2.547e+09,1.777,31540,0.6148
2.481e+09,1.979,36850,0.568
2.253e+09,1.866,63650,0.5119
2.551e+09,1.706,54480,0.5276
2.912e+09,1.604,35120,0.5371
3.049e+09,1.844,44510,0.5634
2.446e+09,1.936,41940,0.6837
2.527e+09,1.913,41000,0.5966
2.506e+09,1.986,32910,0.5285
2.276e+09,1.971,55180,0.5575
2.302e+09,1.897,34490,0.5656
2.536e+09,1.89,61290,0.5415
2.557e+09,1.971,48390,0.5433
2.835e+09,1.942,33400,0.62
2.371e+09,1.853,44710,0.5616
2.411e+09,1.91,40490,0.5417
2.618e+09,1.943,34180,0.6957
2.543e+09,1.77,33970,0.6943
2.291e+09,1.943,24470,0.6485
2.386e+09,1.978,39390,0.8414
2.745e+09,1.66,36720,0.6214
2.032e+09,1.913,29470,0.5727
2.404e+09,1.953,19290,0.6008
2.5e+09,1.735,22610,0.7558
2.52e+09,1.828,21080,0.7999
2.525e+09,1.824,50410,0.7578
2.971e+09,1.625,34780,0.7001
2.715e+09,1.61,25720,0.7644
2.509e+09,1.868,28640,0.5557
2.662e+09,1.716,32710,0.5219
2.202e+09,1.888,33730,0.5437
2.217e+09,1.999,35910,0.5646
2.472e+09,1.986,44210,0.5306
2.351e+09,1.949,38820,0.6098
2.164e+09,1.937,33230,0.7853
2.439e+09,1.931,49340,0.5088
2.401e+09,1.899,42630,0.6116
2.304e+09,1.946,45430,0.523
2.058e+09,1.989,33400,0.6163
2.918e+09,1.573,33560,0.5434
2.375e+09,1.992,49450,0.624
2.457e+09,1.961,29190,0.5454
2.546e+09,1.908,40530,0.6387
2.406e+09,1.791,26690,0.6623
2.298e+09,1.96,33020,0.5842
2.11e+09,1.98,33060,0.5371
2.525e+09,1.697,38620,0.5215
2.67e+09,1.749,43280,0.5037
2.977e+09,1.994,25650,0.5945
2.42e+09,1.978,38070,0.5153
2.544e+09,1.999,54120,0.6343
2.344e+09,1.931,55870,0.5017
2.324e+09,1.907,35760,0.6048
2.473e+09,1.955,28690,0.6029
2.406e+09,1.935,19890,0.7308
2.32e+09,1.945,30550,0.7728
2.212e+09,1.969,36840,0.5966
2.224e+09,1.883,48280,0.6182
2.41e+09,1.994,37870,0.7098
2.451e+09,1.942,42600,0.7459
2.389e+09,1.988,24510,0.7771
2.293e+09,1.994,22400,0.7052
2.303e+09,1.978,31960,0.5043
2.308e+09,1.995,57170,0.5859
2.629e+09,1.924,50670,0.6721
2.178e+09,1.876,35060,0.5344
2.284e+09,1.946,36620,0.5562
2.299e+09,1.993,39040,0.5132
2.311e+09,1.919,40660,0.5149
2.427e+09,1.983,43830,0.6057
2.388e+09,1.955,60350,0.557
2.222e+09,1.969,49110,0.5138
2.444e+09,1.795,47560,0.5422
2.317e+09,1.923,52150,0.5
2.328e+09,1.947,49280,0.5505
2.396e+09,1.94,28380,0.8136
2.4e+09,1.938,43780,0.7112
2.462e+09,1.996,33650,0.7522
2.402e+09,1.871,40020,0.5893
2.369e+09,1.896,42980,0.5173
2.505e+09,1.943,43720,0.6113
2.676e+09,1.83,56060,0.5246
2.334e+09,1.741,39160,0.5841
2.447e+09,1.964,47660,0.5673
2.375e+09,1.995,57010,0.5423
2.243e+09,1.923,48090,0.5686
2.153e+09,1.914,24380,0.5796
2.287e+09,1.901,32040,0.5043
2.569e+09,1.921,44590,0.6122
2.27e+09,1.95,40360,0.7479
2.473e+09,1.852,37100,0.5722
2.201e+09,1.97,43590,0.5303
2.167e+09,1.979,66700,0.6596
2.244e+09,1.973,25960,0.6064
2.245e+09,1.998,32880,0.6155
2.294e+09,1.94,36380,0.5744
2.529e+09,1.886,37070,0.594
2.32e+09,1.998,33670,0.6424
2.527e+09,1.924,30240,0.6938
2.583e+09,1.98,40100,0.7377
2.564e+09,1.927,50560,0.742
2.27e+09,1.994,39980,0.566
2.356e+09,1.96,39880,0.5755
2.694e+09,1.783,32810,0.5647
2.932e+09,1.61,51960,0.5834
2.984e+09,1.914,49610,0.5041
2.938e+09,1.848,54980,0.6506
2.985e+09,1.867,42550,0.534
2.398e+09,1.983,55110,0.5329
2.553e+09,1.828,48130,0.5049
2.582e+09,1.819,54410,0.5348
2.259e+09,1.859,33310,0.656
2.342e+09,1.83,37910,0.7722
2.381e+09,1.967,26710,0.5496
2.467e+09,1.958,34480,0.5454
2.142e+09,1.999,49620,0.5562
2.302e+09,1.991,40940,0.5036
2.458e+09,1.761,37700,0.5649
2.669e+09,1.756,43170,0.5039
2.578e+09,1.922,50770,0.6945
2.444e+09,1.887,74780,0.5488
2.421e+09,1.852,41210,0.6523
2.54e+09,1.977,34350,0.5571
2.483e+09,1.963,38470,0.5458
2.777e+09,1.804,39930,0.5728
2.604e+09,1.876,55340,0.576
2.106e+09,1.96,37140,0.5967
2.221e+09,1.949,25910,0.5769
2.396e+09,1.999,37150,0.5706
2.664e+09,1.965,38130,0.5089
2.766e+09,1.999,26010,0.669
2.39e+09,1.928,40430,0.6311
2.351e+09,1.875,48230,0.6044
2.6e+09,1.943,42330,0.5767
2.332e+09,1.922,38610,0.5685
2.568e+09,1.946,44490,0.5927
2.51e+09,1.976,26170,0.5164
2.391e+09,1.946,34070,0.6229
2.406e+09,1.985,22780,0.5036
2.377e+09,1.973,38600,0.6053
